DATE,ACTLISCOU12060
2016-07-01,42224.0
2016-08-01,40038.0
2016-09-01,39473.0
2016-10-01,39070.0
2016-11-01,37684.0
2016-12-01,34945.0
2017-01-01,32001.0
2017-02-01,31614.0
2017-03-01,30289.0
2017-04-01,30725.0
2017-05-01,32540.0
2017-06-01,33715.0
2017-07-01,35046.0
2017-08-01,42319.0
2017-09-01,41215.0
2017-10-01,39972.0
2017-11-01,37910.0
2017-12-01,34943.0
2018-01-01,31596.0
2018-02-01,30862.0
2018-03-01,31786.0
2018-04-01,33133.0
2018-05-01,34798.0
2018-06-01,36707.0
2018-07-01,39645.0
2018-08-01,40355.0
2018-09-01,40907.0
2018-10-01,43412.0
2018-11-01,42799.0
2018-12-01,41239.0
2019-01-01,38751.0
2019-02-01,38408.0
2019-03-01,39965.0
2019-04-01,42472.0
2019-05-01,44114.0
2019-06-01,45459.0
2019-07-01,46695.0
2019-08-01,46404.0
2019-09-01,45741.0
2019-10-01,45447.0
2019-11-01,42567.0
2019-12-01,39610.0
2020-01-01,36029.0
2020-02-01,34358.0
2020-03-01,34219.0
2020-04-01,37555.0
2020-05-01,36728.0
2020-06-01,32950.0
2020-07-01,29473.0
2020-08-01,27410.0
2020-09-01,25550.0
2020-10-01,24793.0
2020-11-01,22636.0
2020-12-01,20061.0
2021-01-01,17249.0
2021-02-01,14377.0
2021-03-01,13694.0
2021-04-01,13808.0
2021-05-01,14138.0
2021-06-01,15605.0
2021-07-01,17254.0
2021-08-01,18500.0
2021-09-01,18409.0
2021-10-01,18203.0
2021-11-01,17333.0
2021-12-01,15990.0
2022-01-01,13416.0
2022-02-01,12055.0
2022-03-01,12135.0
2022-04-01,12593.0
2022-05-01,15632.0
2022-06-01,19257.0
2022-07-01,25063.0
2022-08-01,27516.0
