RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31
102001,0,United States,Country,,271600.0,272967.0,279333.0,288667.0,295633.0,299267.0,299900.0,299600.0,299139.0,298473.0,297106.0,294233.0,291567.0,292933.0,297967.0,306333.0,314300.0,320800.0,322433.0,319800.0,315467.0,312133.0,307133.0,303267.0,299800.0,301467.0,306500.0,313000.0,320633.0,328300.0,335300.0,340167.0,342167.0,343029.0,341862.0,337529.0,333300.0,333630.0,340463.0,353830.0,367133.0,378266.0,381567.0,380263.0,376963.0,376030.0,375700.0,374363.0,373663.0,378330.0,388000.0,404333.0,421300.0,437929.0,446263.0
394913,1,"New York, NY",Msa,NY,517967.0,523000.0,534333.0,544667.0,554667.0,560000.0,561242.0,556175.0,551175.0,549933.0,550000.0,549667.0,549333.0,549333.0,554667.0,563333.0,573300.0,578267.0,578267.0,574633.0,573000.0,574333.0,577667.0,579000.0,577667.0,578000.0,584667.0,592667.0,599000.0,601667.0,611967.0,628633.0,642633.0,649333.0,652667.0,656333.0,662963.0,668296.0,673296.0,676333.0,676333.0,669667.0,659667.0,647333.0,641967.0,640633.0,644300.0,647967.0,655967.0,668967.0,685000.0,695000.0,698667.0,699000.0,692633.0
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,798933.0,804333.0,821000.0,838000.0,849667.0,849667.0,841333.0,824333.0,803997.0,787997.0,776663.0,763998.0,754665.0,751565.0,763900.0,780867.0,805300.0,825633.0,842000.0,848933.0,848933.0,848933.0,848667.0,849300.0,852633.0,869300.0,890674.0,894007.0,890507.0,897167.0,929167.0,959633.0,971300.0,975967.0,981000.0,991167.0,997833.0,999500.0,1012666.0,1019666.0,1024667.0,1011633.0,1001300.0,979600.0,960633.0,947633.0,947667.0,950000.0,958333.0,973557.0,990223.0,998556.0,999999.0,999962.0,996229.0
394463,3,"Chicago, IL",Msa,IL,301497.0,305967.0,319467.0,336133.0,346133.0,348633.0,344967.0,338300.0,330967.0,324933.0,318300.0,309933.0,303267.0,306600.0,319633.0,336000.0,345850.0,348183.0,345016.0,338466.0,331467.0,324933.0,319633.0,311300.0,306333.0,309967.0,320800.0,328800.0,332167.0,336833.0,343800.0,348800.0,349967.0,349667.0,346300.0,340967.0,332967.0,333332.0,338632.0,346965.0,353267.0,355630.0,355630.0,348996.0,341633.0,334933.0,329933.0,324267.0,320226.0,321392.0,328726.0,339433.0,348667.0,355033.0,355067.0
394514,4,"Dallas-Fort Worth, TX",Msa,TX,341634.0,345000.0,351633.0,359633.0,365967.0,365667.0,359300.0,350355.0,343988.0,340655.0,339600.0,337933.0,334633.0,334633.0,339333.0,347633.0,354467.0,355797.0,353997.0,348497.0,344167.0,341000.0,339967.0,338300.0,334967.0,334000.0,335667.0,338967.0,343133.0,348133.0,354800.0,358133.0,359767.0,358798.0,357139.0,354169.0,352167.0,353660.0,359327.0,368663.0,378993.0,387997.0,394500.0,397803.0,399470.0,399967.0,403666.0,410000.0,417330.0,423330.0,435660.0,451997.0,471297.0,483300.0,487967.0
394974,5,"Philadelphia, PA",Msa,PA,252633.0,249633.0,253433.0,260400.0,269833.0,276067.0,279400.0,278267.0,276433.0,274767.0,272133.0,266600.0,258300.0,254300.0,258000.0,267667.0,279167.0,287800.0,293133.0,293300.0,293333.0,293633.0,293633.0,290300.0,286333.0,286300.0,289633.0,294633.0,301333.0,311333.0,323333.0,333000.0,336333.0,338588.0,337255.0,333921.0,328300.0,324967.0,326600.0,333267.0,339933.0,345267.0,341933.0,336600.0,331267.0,329633.0,329467.0,326167.0,321167.0,316667.0,315000.0,318300.0,325267.0,333567.0,336933.0
394692,6,"Houston, TX",Msa,TX,314774.0,317125.0,320393.0,325104.0,328537.0,329998.0,326889.0,322031.0,315716.0,312348.0,309110.0,307491.0,306033.0,307329.0,310567.0,315425.0,319603.0,321060.0,319409.0,315522.0,311458.0,308847.0,306838.0,304555.0,302016.0,301566.0,304380.0,307222.0,311334.0,315999.0,321868.0,326694.0,330872.0,334362.0,336459.0,335274.0,333335.0,332830.0,337660.0,345085.0,355748.0,365085.0,371625.0,372782.0,371446.0,371317.0,371493.0,371493.0,370660.0,372660.0,378993.0,388660.0,397663.0,404194.0,404494.0
395209,7,"Washington, DC",Msa,DC,432260.0,431930.0,441963.0,453031.0,465031.0,475331.0,480967.0,477633.0,467667.0,461633.0,456600.0,449900.0,443233.0,443267.0,454967.0,471667.0,488166.0,496166.0,495833.0,489300.0,484633.0,483467.0,485167.0,483467.0,481833.0,486800.0,501830.0,513297.0,523297.0,531633.0,544633.0,551330.0,549330.0,542663.0,534330.0,527327.0,521293.0,519630.0,520300.0,528000.0,534666.0,539666.0,536633.0,531633.0,526633.0,525167.0,525833.0,527163.0,531997.0,542663.0,557667.0,574333.0,587967.0,596633.0,599467.0
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,393496.0,393496.0,394825.0,396319.0,397946.0,398278.0,398411.0,398112.0,397780.0,397481.0,396452.0,395124.0,393795.0,393496.0,394792.0,396120.0,397780.0,398145.0,400582.0,402243.0,402243.0,400138.0,399968.0,401297.0,401297.0,399806.0,400138.0,399806.0,399474.0,397481.0,397813.0,399806.0,401798.0,403559.0,402344.0,401128.0,399873.0,399902.0,402965.0,411300.0,,,,,472667.0,479333.0,487667.0,494667.0,505000.0,523300.0,549633.0,578963.0,611997.0,635663.0,647967.0
394347,9,"Atlanta, GA",Msa,GA,310065.0,314968.0,323635.0,335333.0,344667.0,349633.0,344933.0,337933.0,329633.0,325000.0,321000.0,317633.0,313957.0,313290.0,317286.0,326963.0,338296.0,344333.0,344633.0,339933.0,334900.0,330567.0,327267.0,325383.0,323862.0,323862.0,325778.0,327247.0,330580.0,336706.0,344459.0,351126.0,354667.0,356300.0,354633.0,351600.0,349933.0,351180.0,357847.0,373880.0,389267.0,399967.0,402300.0,402333.0,401667.0,400000.0,400000.0,399967.0,399633.0,399300.0,399333.0,405330.0,415163.0,428496.0,431166.0
