RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-08-31,2022-10-31,2023-07-31
102001,0,United States,Country,,2022-07-31,0.3,0.2,2.7
394913,1,"New York, NY",Msa,NY,2022-07-31,0.3,-0.1,0.2
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,2022-07-31,-0.5,-0.9,0.7
394463,3,"Chicago, IL",Msa,IL,2022-07-31,0.1,-0.1,0.2
394514,4,"Dallas-Fort Worth, TX",Msa,TX,2022-07-31,0.1,0.3,4.2
394974,5,"Philadelphia, PA",Msa,PA,2022-07-31,0.3,0.2,1.7
394692,6,"Houston, TX",Msa,TX,2022-07-31,0.5,0.8,2.7
395209,7,"Washington, DC",Msa,DC,2022-07-31,-0.2,-0.7,-0.4
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,2022-07-31,1.3,2.1,5.6
394347,9,"Atlanta, GA",Msa,GA,2022-07-31,0.3,0.6,5.5
394404,10,"Boston, MA",Msa,MA,2022-07-31,0.0,-0.3,0.8
395057,11,"San Francisco, CA",Msa,CA,2022-07-31,-1.2,-2.6,-1.8
394532,12,"Detroit, MI",Msa,MI,2022-07-31,0.0,-0.1,2.1
395025,13,"Riverside, CA",Msa,CA,2022-07-31,-0.4,-1.2,2.4
394976,14,"Phoenix, AZ",Msa,AZ,2022-07-31,-1.0,-2.0,3.4
395078,15,"Seattle, WA",Msa,WA,2022-07-31,-0.3,-0.6,3.1
394865,16,"Minneapolis-St Paul, MN",Msa,MN,2022-07-31,-0.2,-0.4,0.6
395056,17,"San Diego, CA",Msa,CA,2022-07-31,-1.0,-1.6,1.4
395121,18,"St. Louis, MO",Msa,MO,2022-07-31,0.0,-0.2,1.0
395148,19,"Tampa, FL",Msa,FL,2022-07-31,0.6,1.1,6.7
394358,20,"Baltimore, MD",Msa,MD,2022-07-31,0.2,-0.3,-0.5
394530,21,"Denver, CO",Msa,CO,2022-07-31,-0.8,-1.3,1.2
394982,22,"Pittsburgh, PA",Msa,PA,2022-07-31,-0.2,-0.4,1.0
394998,23,"Portland, OR",Msa,OR,2022-07-31,-0.9,-1.5,-0.1
394458,24,"Charlotte, NC",Msa,NC,2022-07-31,0.5,1.0,6.1
395045,25,"Sacramento, CA",Msa,CA,2022-07-31,-0.7,-1.7,0.7
395055,26,"San Antonio, TX",Msa,TX,2022-07-31,0.3,0.5,3.1
394943,27,"Orlando, FL",Msa,FL,2022-07-31,0.7,0.8,4.9
394466,28,"Cincinnati, OH",Msa,OH,2022-07-31,0.0,-0.1,2.4
394475,29,"Cleveland, OH",Msa,OH,2022-07-31,0.4,0.6,2.8
394735,30,"Kansas City, MO",Msa,MO,2022-07-31,0.1,0.1,2.7
394775,31,"Las Vegas, NV",Msa,NV,2022-07-31,-0.3,-0.9,3.9
394492,32,"Columbus, OH",Msa,OH,2022-07-31,0.7,1.2,4.3
394705,33,"Indianapolis, IN",Msa,IN,2022-07-31,0.4,0.7,4.5
395059,34,"San Jose, CA",Msa,CA,2022-07-31,-2.6,-4.7,-3.6
