Zip Code,Location,City,Population,Avg.Income/H/hold,NationalRank
30327,"33.869768, -84.417135",Atlanta ,21003,114674,120
30005,"34.087150, -84.221044",Alpharetta ,27075,98545,293
31411,"31.918280, -81.018854",Savannah ,6958,96229,331
30097,"34.026142, -84.145592",Duluth ,24377,95468,346
30326,"33.849787, -84.364521",Atlanta ,1075,94740,358
30022,"34.030333, -84.241932",Alpharetta ,54453,93150,389
30075,"34.056318, -84.390413",Roswell ,46231,88504,498
30068,"33.970766, -84.436700",Marietta ,31878,87710,522
30024,"34.062110, -84.086188",Suwanee ,35241,86581,575
30338,"33.946218, -84.318119",Atlanta ,28885,82502,711
30062,"33.998896, -84.465673",Marietta ,61674,78768,899
31820,"32.576549, -84.848292",Midland ,5013,78435,913
30269,"33.399457, -84.572159",PeachtreeCity ,32458,75860,1055
30017,"33.892695, -83.962103",Grayson ,12357,74433,1155
30189,"34.124213, -84.570684",Woodstock ,33040,74196,1162
30004,"34.134088, -84.302831",Alpharetta ,41345,72591,1287
30066,"34.032388, -84.505154",Marietta ,50994,72580,1288
30041,"34.200370, -84.098901",Cumming ,32696,72331,1304
30043,"33.999276, -84.009512",Lawrenceville ,62234,71424,1372
30250,"33.438647, -84.318519",Lovejoy ,132,71250,1393
30215,"33.391613, -84.456432",Fayetteville ,26555,71139,1414
30047,"33.870144, -84.112327",Lilburn ,53472,70846,1447
30809,"33.555949, -82.170376",Evans ,25440,70809,1454
30152,"33.989648, -84.646572",Kennesaw ,26924,70741,1467
30076,"34.028474, -84.311406",Roswell ,41992,69701,1575
30519,"34.082384, -83.937611",Buford ,19114,69546,1589
30087,"33.805871, -84.126928",StoneMountain ,32622,69527,1591
30019,"33.978114, -83.879653",Dacula ,19703,69205,1618
30277,"33.375308, -84.649196",Sharpsburg ,15488,69008,1642
30290,"33.479551, -84.586359",Tyrone ,5182,68250,1716
30214,"33.485102, -84.489624",Fayetteville ,21948,67788,1771
30064,"33.939737, -84.613787",Marietta ,42244,67586,1798
30671,"33.740689, -83.182987",Maxeys ,43,67500,1804
30078,"33.864659, -84.022279",Snellville ,29113,66965,1874
30101,"34.034515, -84.707349",Acworth ,39131,66827,1897
30328,"33.930598, -84.384238",Atlanta ,28701,66493,1938
