County,Percapita,Median_household_income,Median_family_income,Pop2015,Numberof_households2015
Forsyth,37211,56709,75579,244252,76753
Fulton,35385,87605,96501,175511,59433
Fayette,35076,82216,92976,106567,38167
Oconee,34271,74352,85371,32808,11622
Cobb,33110,65522,78920,688078,260056
Harris,31073,67018,74457,32024,11823
Cherokee,30217,66320,77190,214346,75936
Columbia,29479,66333,74426,124053,44898
DeKalb,28412,51349,60718,691893,271809
Bryan,28365,63244,72118,30233,10738
Glynn,28040,50337,62445,79626,31774
Morgan,27732,45817,57724,17868,6660
Gwinnett,26901,63219,70767,805321,268519
Coweta,26161,61550,68469,127317,45673
Pickens,25892,49945,59955,29431,11291
Henry,25773,63923,70972,203922,70255
Putnam,25576,41529,49814,21218,8601
Dawson,25557,51128,60236,22330,8433
Chatham,25397,44928,54933,265128,103038
Houston,25206,55098,67227,139900,53051
Greene,24943,38513,42307,15994,6519
Douglas,24515,55852,62977,132403,46624
Rockdale,24367,55779,63167,85215,30027
Union,24182,41298,50772,21356,9116
Lee,23867,59811,67943,28298,9706
White,23680,41756,50981,27144,10646
Hall,23675,50876,57774,179684,60691
Monroe,23656,48297,61110,26424,9662
Effingham,23465,56903,63277,52250,18092
Paulding,23450,62348,67117,142324,48105
Catoosa,22563,46544,54796,63942,24475
Walton,22521,51721,58750,83768,29583
Muscogee,22514,41331,50771,189885,74081
Jackson,22473,51506,58239,60485,21343
Rabun,22471,34406,50410,16276,6780
Bartow,22241,49216,56281,100157,35782
Chattahoochee,22202,51089,55745,11267,2686
Camden,22022,49230,57366,50513,18047
Jones,21598,50717,56038,28669,10586
Newton,21583,52361,56519,99958,34390
Towns,21527,39540,48020,10471,4510
Bibb,21436,38798,52158,155547,60295
Thomas,21261,35797,46333,44720,17573
Fannin,21103,34145,41422,23682,10187
Pike,21051,53213,57458,17869,6187
McIntosh,20964,39075,51765,14333,5971
Butts,20963,52257,59511,23655,7881
Barrow,20882,48958,55415,69367,23971
Crawford,20692,37062,48623,12630,4822
Floyd,20640,41066,49310,96317,35930
Richmond,20604,37882,45220,200549,76924
Carroll,20523,45559,53703,110527,39187
Gilmer,20439,36741,45317,28292,11314
Brooks,20346,41309,47599,16243,6457
