name,pop2022,pop2020,growth,density,aland_sqmi
Atlanta,514457,498715,0.0316,3790,135.7370
Columbus,210330,206922,0.0165,972,216.4790
Augusta,203329,202081,0.0062,673,302.2740
Savannah,150078,147780,0.0156,1444,103.9100
Athens,129687,127315,0.0186,1115,116.3290
Sandy Springs,110926,108080,0.0263,2946,37.6540
Roswell,93731,92833,0.0097,2302,40.7190
Johns Creek,83597,82453,0.0139,2713,30.8130
Warner Robins,83052,80308,0.0342,2232,37.2150
Albany,68089,69647,-0.0224,1237,55.0650
Alpharetta,67472,65818,0.0251,2508,26.9010
Marietta,61850,60972,0.0144,2642,23.4060
Smyrna,56541,55663,0.0158,3636,15.5510
Valdosta,55550,55378,0.0031,1545,35.9650
Dunwoody,52767,51683,0.0210,4049,13.0330
Newnan,44451,42549,0.0447,2301,19.3170
Gainesville,43994,42296,0.0401,1335,32.9510
Milton,43024,41296,0.0418,1116,38.5400
Mableton,41578,40834,0.0182,2020,20.5810
East Point,39288,38358,0.0242,2675,14.6850
Peachtree City,39020,38244,0.0203,1589,24.5610
Rome,37995,37713,0.0075,1205,31.5360
Woodstock,37299,35065,0.0637,3002,12.4240
Evans,35640,34536,0.0320,1411,25.2580
Douglasville,35388,34650,0.0213,1569,22.5570
Hinesville,35181,34891,0.0083,1937,18.1670
Canton,34977,32973,0.0608,1927,18.1510
Dalton,34675,34417,0.0075,1687,20.5540
Statesboro,34442,33438,0.0300,2313,14.8890
Martinez,34283,34535,-0.0073,2364,14.5030
Chamblee,34218,30164,0.1344,4442,7.7040
Kennesaw,33686,33036,0.0197,3467,9.7150
Duluth,32927,31873,0.0331,3222,10.2200
Redan,31495,31749,-0.0080,3895,8.0850
LaGrange,31112,30858,0.0082,739,42.0960
Lawrenceville,31045,30629,0.0136,2281,13.6120
McDonough,30445,29051,0.0480,2412,12.6200
Stockbridge,29641,28973,0.0231,2168,13.6700
Union City,28304,26830,0.0549,1439,19.6630
Carrollton,27208,26738,0.0176,1219,22.3160
Pooler,27025,25711,0.0511,977,27.6490
Sugar Hill,26386,25076,0.0522,2380,11.0880
Decatur,26046,24928,0.0448,5872,4.4360
Cartersville,23879,23187,0.0298,823,28.9980
Griffin,23446,23478,-0.0014,1683,13.9350
Acworth,22844,22440,0.0180,2543,8.9840
Candler-McAfee,22356,22468,-0.0050,3210,6.9650
Perry,21980,20624,0.0657,821,26.7570
Suwanee,21872,20786,0.0522,2011,10.8760
Snellville,21039,20573,0.0227,2009,10.4710
North Druid Hills,20673,20385,0.0141,4551,4.5430
