County,2020pop,2019pop,2018pop,2017pop
Appling,39199,35558,33620,33240
Atkinson,31938,30251,28962,28937
Bacon,38281,32784,31516,31441
Baker,43156,39932,35175,33548
Baldwin,36399,33865,32534,31915
Banks,37333,35990,35862,35193
Barrow,40435,37318,36720,35807
Bartow,42734,39755,38310,37028
BenHill,36234,32539,31250,29600
Berrien,35260,32573,31117,30822
Bibb,44830,41517,40433,39509
Bleckley,36712,34464,33520,33013
Brantley,30007,27472,27046,26070
Brooks,40221,36742,34708,33756
Bryan,56648,53404,53382,50475
Bulloch,35376,32718,32360,31342
Burke,41973,38419,34940,34447
Butts,37403,34761,34243,32752
Calhoun,28426,25701,23262,24114
Camden,39262,36807,35872,35493
Candler,36613,33649,32024,31070
Carroll,42058,39725,38273,37126
Catoosa,38815,36030,34882,33929
Charlton,27192,24884,24465,24177
Chatham,51805,48545,47256,45559
Chattahoochee,33166,30433,29964,31503
Chattooga,33855,31069,30296,29702
Cherokee,56278,53774,52052,50281
Clarke,37588,34935,33481,32362
Clay,38731,34175,32081,30808
Clayton,32702,28329,27430,26721
Clinch,44238,38551,36689,35573
Cobb,63214,60383,57762,55448
Coffee,35507,32880,31761,31301
Colquitt,37418,33793,32728,32304
Columbia,54420,51534,49844,48358
Cook,36301,33589,32303,30891
Coweta,52106,49042,47395,45358
Crawford,37563,34633,33841,33368
Crisp,37250,34299,32341,31585
Dade,37327,34992,35561,33728
Dawson,48170,46101,45988,44208
Decatur,40879,37197,35527,33717
DeKalb,56428,52950,51310,48914
Dodge,33419,31116,30026,29484
Dooly,34582,32995,29886,29914
Dougherty,40161,35951,34246,33580
Douglas,40264,36772,35406,34199
Early,42889,39225,35805,35181
Echols,31945,28417,28002,27087
Effingham,45069,41988,41839,40521
Elbert,38414,35899,35669,35129
Emanuel,37678,33463,31778,31948
Evans,37408,34065,33769,33343
Fannin,39796,38128,36459,35178
Fayette,71384,68696,66106,61841
Floyd,41238,38630,37593,36491
Forsyth,67859,64919,63462,61970
Franklin,35134,34783,35349,34951
Fulton,95683,92961,87395,82345
Gilmer,37542,35979,35252,34342
Glascock,36615,34576,32979,32548
Glynn,50480,47795,46614,44266
Gordon,37759,35882,34849,35831
Grady,37725,35195,34108,33287
Greene,61326,60578,60073,56042
Gwinnett,46886,43573,41877,40337
Habersham,36691,35006,34002,33042
Hall,48759,46409,44831,42743
Hancock,33557,30931,29983,28209
Haralson,39401,37319,36186,35038
Harris,51168,49048,47669,45709
Hart,39402,37980,37741,36238
Heard,34362,32162,31404,30431
Henry,43812,40305,39521,38311
Houston,46579,43847,42784,41524
Irwin,38364,34748,32984,31957
Jackson,45099,42927,43180,41409
Jasper,40541,38411,37560,39162
JeffDavis,34341,31948,29901,28366
Jefferson,39544,34766,32684,32753
Jenkins,33497,30524,28688,28510
Johnson,27965,25343,24822,24158
Jones,41436,38843,37154,36369
Lamar,37303,34457,33093,32049
Lanier,31021,28598,27463,26346
Laurens,41650,38249,37385,35844
Lee,51908,47926,46245,45120
Liberty,40087,36969,36766,34459
Lincoln,40424,37797,36247,35656
Long,29738,28002,27610,26947
Lowndes,41117,38136,37150,35750
Lumpkin,41181,39041,38117,36259
Macon,33955,31843,29773,31096
Madison,38890,37625,37075,36366
Marion,31621,29832,29193,27858
McDuffie,41111,37740,35763,35072
McIntosh,34500,31770,31032,29523
Meriwether,39121,35604,34437,33059
Miller,49844,46158,43499,39678
Mitchell,39711,36448,33947,34257
Monroe,48985,46580,44774,43174
Montgomery,34061,30196,29016,29008
Morgan,55032,52550,50724,48776
Murray,33841,31148,30402,29446
Muscogee,48080,44896,43215,41950
Newton,38256,34829,34033,32812
Oconee,71768,71604,66432,64454
Oglethorpe,38236,37243,36686,36750
Paulding,42595,39309,38249,36915
Peach,41931,38915,36947,37217
Pickens,50868,48712,47461,46534
Pierce,39979,36889,35671,35232
Pike,44311,41710,40168,38458
Polk,36190,33470,32097,31012
Pulaski,34636,31876,30734,30101
Putnam,48498,45402,43753,41074
Quitman,34810,30994,30839,28709
Rabun,44160,41317,40470,40810
Randolph,37204,33565,31828,30912
Richmond,41999,38663,37321,36198
Rockdale,40051,36434,35074,34002
Schley,35588,33278,31890,30213
Screven,37694,34880,33563,32743
Seminole,48082,45837,41511,40671
Spalding,38792,35579,34319,33284
Stephens,40153,37417,36804,36835
Stewart,25041,22591,21687,20960
Sumter,40387,37011,35051,34944
Talbot,38621,35033,33694,34181
Taliaferro,36860,36923,32818,32889
Tattnall,30222,28462,28268,28595
Taylor,33630,32157,30456,29246
Telfair,22644,20826,20755,20480
Terrell,44976,41393,38739,37481
Thomas,49443,45470,44536,42415
Tift,42279,38346,37273,35800
Toombs,40041,35912,34881,33875
Towns,42908,40105,38273,37025
Treutlen,31899,28946,28662,28694
Troup,40920,37461,35676,34810
Turner,39281,36111,33394,33292
Twiggs,44686,40913,40393,37252
Union,39839,38294,36919,36333
Upson,39391,36600,34893,33633
Walker,36157,33883,32834,31848
Walton,44977,42588,41047,39434
Ware,37306,33737,33082,32626
Warren,39545,36015,33999,32724
Washington,39151,35889,34685,34168
Wayne,34877,31927,31330,29868
Webster,36032,33487,32221,31809
Wheeler,21087,18944,18465,18513
White,38858,36814,35641,34904
Whitfield,43456,40622,39105,36997
Wilcox,29895,28621,26687,27059
Wilkes,42093,41337,40172,39932
Wilkinson,40158,37209,35334,34206
Worth,39102,36250,34010,32818
