Zip Code,Population,,,,,
30044,"93,987",,,,,
30043,"88,276",,,,,
30024,"80,598",,,,,
30349,"75,647",,,,,
30040,"72,858",,,,,
30041,"71,750",,,,,
30127,"71,709",,,,,
30281,"70,098",,,,,
30052,"69,518",,,,,
30022,"69,135",,,,,
30047,"68,700",,,,,
30096,"68,570",,,,,
30135,"67,853",,,,,
30004,"66,538",,,,,
30331,"65,996",,,,,
30062,"63,906",,,,,
30188,"63,869",,,,,
30058,"61,247",,,,,
30263,"60,769",,,,,
30906,"60,200",,,,,
30083,"59,798",,,,,
30144,"59,085",,,,,
30101,"58,844",,,,,
30080,"58,806",,,,,
31907,"58,615",,,,,
31419,"58,483",,,,,
30066,"57,953",,,,,
30253,"57,889",,,,,
30318,"57,136",,,,,
31088,"57,063",,,,,
30114,"57,013",,,,,
30016,"56,934",,,,,
30075,"55,945",,,,,
30518,"54,832",,,,,
30093,"53,896",,,,,
30236,"53,224",,,,,
30721,"52,658",,,,,
30907,"51,428",,,,,
30809,"50,288",,,,,
30519,"49,986",,,,,
30064,"49,849",,,,,
30157,"48,446",,,,,
30019,"48,443",,,,,
30458,"47,890",,,,,
30132,"47,378",,,,,
30032,"47,267",,,,,
30252,"47,005",,,,,
30076,"46,739",,,,,
30039,"46,640",,,,,
30067,"46,482",,,,,
30045,"46,088",,,,,
30034,"45,968",,,,,
30097,"45,894",,,,,
30680,"45,852",,,,,
30606,"45,698",,,,,
30813,"45,485",,,,,
30319,"45,135",,,,,
30115,"44,811",,,,,
30152,"44,115",,,,,
30506,"43,974",,,,,
30228,"43,753",,,,,
30736,"43,639",,,,,
30134,"43,504",,,,,
30126,"42,794",,,,,
31061,"42,625",,,,,
30102,"42,232",,,,,
30701,"42,050",,,,,
30815,"41,590",,,,,
30605,"41,388",,,,,
31313,"41,378",,,,,
30294,"41,096",,,,,
30909,"40,595",,,,,
30165,"40,349",,,,,
30005,"40,213",,,,,
30060,"40,055",,,,,
30120,"40,008",,,,,
30038,"39,543",,,,,
30189,"39,522",,,,,
30014,"39,352",,,,,
30238,"39,310",,,,,
30350,"38,785",,,,,
30328,"38,685",,,,,
31909,"38,486",,,,,
30078,"38,472",,,,,
30087,"38,304",,,,,
30180,"38,203",,,,,
30213,"37,948",,,,,
31405,"37,929",,,,,
30046,"37,919",,,,,
30084,"37,354",,,,,
30092,"37,025",,,,,
30215,"36,953",,,,,
30223,"36,797",,,,,
30269,"36,578",,,,,
30542,"36,450",,,,,
30315,"36,296",,,,,
31602,"35,916",,,,,
30338,"35,680",,,,,
30311,"35,523",,,,,
30161,"35,344",,,,,
30117,"35,097",,,,,
31406,"35,073",,,,,
30008,"34,709",,,,,
30265,"34,596",,,,,
30274,"34,426",,,,,
30705,"34,072",,,,,
30316,"33,832",,,,,
31210,"33,647",,,,,
31404,"33,597",,,,,
30068,"32,798",,,,,
30033,"32,782",,,,,
30501,"32,652",,,,,
30094,"32,359",,,,,
31705,"32,290",,,,,
30344,"32,155",,,,,
30341,"32,134",,,,,
31904,"32,087",,,,,
30030,"31,856",,,,,
30342,"31,828",,,,,
31601,"31,652",,,,,
30012,"31,427",,,,,
30507,"31,290",,,,,
30240,"31,223",,,,,
31204,"31,055",,,,,
30534,"30,848",,,,,
31525,"30,780",,,,,
30088,"30,760",,,,,
30028,"30,609",,,,,
30214,"30,232",,,,,
30340,"29,069",,,,,
30324,"28,654",,,,,
30310,"28,597",,,,,
30741,"28,592",,,,,
30297,"28,503",,,,,
30549,"28,195",,,,,
30720,"28,067",,,,,
31794,"27,918",,,,,
30248,"27,747",,,,,
30533,"27,738",,,,,
30122,"27,580",,,,,
30296,"27,579",,,,,
31021,"27,503",,,,,
30504,"27,242",,,,,
30260,"27,183",,,,,
31324,"27,155",,,,,
30224,"27,139",,,,,
30904,"27,136",,,,,
30329,"26,980",,,,,
30141,"26,494",,,,,
30082,"26,442",,,,,
31322,"26,119",,,,,
30655,"25,876",,,,,
30071,"25,865",,,,,
30309,"25,852",,,,,
30345,"25,777",,,,,
30314,"25,752",,,,,
31093,"25,488",,,,,
30339,"25,318",,,,,
30121,"25,309",,,,,
30013,"25,218",,,,,
30528,"25,149",,,,,
30305,"25,139",,,,,
31206,"24,983",,,,,
30168,"24,936",,,,,
30306,"24,915",,,,,
31410,"24,626",,,,,
30233,"24,398",,,,,
31763,"24,307",,,,,
30021,"24,138",,,,,
31605,"23,955",,,,,
30312,"23,921",,,,,
30116,"23,886",,,,,
30125,"23,793",,,,,
30017,"23,788",,,,,
31707,"23,645",,,,,
30241,"23,449",,,,,
30601,"23,390",,,,,
30277,"23,365",,,,,
30035,"23,087",,,,,
30327,"23,059",,,,,
31520,"22,783",,,,,
30143,"22,726",,,,,
30512,"22,646",,,,,
30291,"22,636",,,,,
31792,"22,458",,,,,
30106,"22,433",,,,,
30286,"22,270",,,,,
30577,"22,261",,,,,
31558,"22,237",,,,,
31768,"22,212",,,,,
31548,"21,858",,,,,
31312,"21,762",,,,,
31326,"21,722",,,,,
31015,"21,224",,,,,
31721,"20,924",,,,,
31024,"20,792",,,,,
30308,"20,438",,,,,
30307,"20,337",,,,,
31069,"20,207",,,,,
30728,"20,183",,,,,
31906,"20,114",,,,,
31503,"20,043",,,,,
30548,"19,828",,,,,
31008,"19,824",,,,,
30540,"19,732",,,,,
31401,"19,580",,,,,
31701,"18,886",,,,,
30677,"18,770",,,,,
30009,"18,625",,,,,
31005,"18,336",,,,,
30276,"18,128",,,,,
31533,"18,050",,,,,
