COUNTY,2020,2021,2022,2023,2024,2025,2026
APPLING,18325,18371,18416,18461,18506,18552,18580
ATKINSON,8393,8379,8375,8364,8360,8346,8353
BACON,11036,11123,11217,11313,11407,11494,11580
BAKER,2971,2967,2964,2959,2956,2952,2935
BALDWIN,45099,45199,45306,45413,45520,45620,45738
BANKS,19352,19498,19647,19794,19943,20089,20208
BARROW,85588,86893,88194,89499,90800,92105,93332
BARTOW,109426,110431,111431,112441,113441,114446,115734
BENHILL,16614,16681,16742,16816,16877,16944,16987
BERRIEN,19408,19500,19590,19685,19775,19867,19937
BIBB,152737,153188,153625,154061,154498,154949,155195
BLECKLEY,12955,12963,12971,12997,13005,13013,13018
BRANTLEY,19202,19299,19402,19494,19597,19694,19780
BROOKS,15357,15414,15471,15523,15580,15637,15650
BRYAN,40755,41594,42443,43280,44129,44968,45761
BULLOCH,80839,81531,82244,82934,83647,84339,85477
BURKE,22648,22761,22884,22997,23120,23233,23325
BUTTS,25426,25642,25846,26074,26278,26494,26708
CALHOUN,6231,6232,6236,6237,6241,6242,6233
CAMDEN,55388,55759,56144,56505,56890,57261,57616
CANDLER,10985,11065,11150,11240,11325,11405,11454
CARROLL,121633,122783,123929,125075,126221,127371,128424
CATOOSA,67996,68441,68888,69332,69779,70224,70623
CHARLTON,13430,13466,13499,13527,13560,13596,13667
CHATHAM,289463,292612,295759,298904,302051,305200,307963
CHATTAHOOCHEE,10551,10676,10805,10933,11062,11187,11233
CHATTOOGA,24843,24763,24686,24616,24539,24459,24415
CHEROKEE,265274,269056,272840,276614,280398,284180,288579
CLARKE,127795,129026,130247,131478,132699,133930,135491
CLAY,2866,2863,2861,2863,2861,2858,2837
CLAYTON,292646,296028,299405,302791,306168,309550,312513
CLINCH,6582,6527,6482,6433,6388,6333,6310
COBB,762944,771165,779374,787597,795806,804027,810688
COFFEE,43218,43457,43686,43917,44146,44385,44540
COLQUITT,45542,45772,46004,46234,46466,46696,46872
COLUMBIA,160377,162487,164598,166722,168833,170943,172855
COOK,17291,17373,17452,17530,17609,17691,17769
COWETA,150849,153239,155642,158029,160432,162822,165204
CRAWFORD,12231,12181,12134,12093,12046,11996,11943
CRISP,22034,22048,22067,22080,22099,22113,22123
DADE,16057,16030,16007,15991,15968,15941,15924
DAWSON,27113,27727,28346,28968,29587,30201,30778
DECATUR,26457,26572,26695,26813,26936,27051,27134
